epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8688,3.43927,7.90946,0.67293,5.55146,1.9076,0.20876,0.30058,0.16037,0.04176,0.21879,0.23699,0.17244,0.03718,2.97005,5.92476,0.3868,2.75452,1.78357,0.000638889,0.000638889,0.000638889
2,70.4497,2.82007,6.05279,0.35867,2.36235,1.5527,0.2998,0.38115,0.22767,0.07497,0.32795,0.46243,0.27417,0.0728,2.60538,5.29823,0.376,3.13661,1.60172,0.00124093,0.00124093,0.00124093
3,90.0418,2.5446,5.57508,0.33647,2.17124,1.4424,0.38589,0.31964,0.31548,0.11164,0.48483,0.49504,0.3881,0.11284,2.43036,5.40658,0.34911,2.83098,1.53883,0.00177697,0.00177697,0.00177697
4,108.822,2.50194,5.52499,0.33619,2.23372,1.40336,0.31641,0.36416,0.22012,0.07705,0.35831,0.48555,0.31227,0.07399,2.5353,5.14278,0.32936,2.49111,1.47666,0.001703,0.001703,0.001703
5,129.034,2.4686,5.14216,0.30498,2.07376,1.38077,0.278,0.33526,0.22476,0.08685,0.34879,0.50289,0.31509,0.11963,2.38675,4.55925,0.3127,2.60444,1.43716,0.001604,0.001604,0.001604
6,149.685,2.5286,4.83063,0.29302,2.07457,1.37106,0.35359,0.28324,0.27531,0.09303,0.50504,0.48955,0.49448,0.1793,2.34097,4.3446,0.31525,2.62198,1.42024,0.001505,0.001505,0.001505
7,168.425,2.4413,4.80987,0.29335,2.16529,1.38632,0.3052,0.34682,0.25963,0.09741,0.42245,0.50867,0.39048,0.14478,2.33231,4.21531,0.30471,2.70061,1.43016,0.001406,0.001406,0.001406
8,188.134,2.33119,4.3753,0.29398,2.04218,1.33305,0.3006,0.35838,0.26462,0.1087,0.37439,0.52023,0.3635,0.14817,2.27407,4.03828,0.29677,2.24151,1.38046,0.001307,0.001307,0.001307
9,207.949,2.34522,4.17757,0.27156,2.01759,1.30887,0.37552,0.37572,0.29825,0.12503,0.47236,0.53179,0.44926,0.2036,2.20121,3.80071,0.29143,2.08972,1.32729,0.001208,0.001208,0.001208
10,226.491,2.25958,3.96909,0.26497,1.97223,1.28584,0.42169,0.33298,0.31272,0.12685,0.47538,0.54913,0.50457,0.23375,2.16659,3.69711,0.29255,2.05836,1.32893,0.001109,0.001109,0.001109
11,250.831,2.24527,3.94608,0.26045,2.07444,1.37509,0.39917,0.35838,0.34282,0.14513,0.45346,0.47399,0.46482,0.22888,2.08446,3.58207,0.28134,2.06004,1.31088,0.00101,0.00101,0.00101
12,268.854,2.13491,3.49021,0.2617,2.03477,1.31472,0.47708,0.36416,0.35216,0.14221,0.50489,0.49133,0.48333,0.21703,2.28998,3.59671,0.27951,2.06121,1.40417,0.000911,0.000911,0.000911
13,287.008,2.13361,3.5552,0.26835,2.04849,1.31593,0.47379,0.30636,0.37156,0.15543,0.54945,0.42197,0.48421,0.26485,2.15761,3.42889,0.27578,2.03186,1.31048,0.000812,0.000812,0.000812
14,305.22,2.07671,3.31507,0.25004,1.95417,1.31344,0.5025,0.34104,0.3869,0.15944,0.47966,0.46357,0.47886,0.2512,2.13739,3.29827,0.2713,2.03712,1.33044,0.000713,0.000713,0.000713
15,325.753,2.06921,3.224,0.25154,1.96931,1.28519,0.50595,0.31792,0.35807,0.15377,0.53663,0.41618,0.482,0.26943,2.13781,3.18989,0.27141,1.95802,1.33726,0.000614,0.000614,0.000614
16,344.592,2.08488,3.11342,0.26299,1.96311,1.31086,0.48636,0.3526,0.3825,0.17468,0.52509,0.49212,0.53507,0.31155,2.08963,3.02404,0.26882,1.8969,1.31411,0.000515,0.000515,0.000515
17,362.592,2.02936,3.00236,0.25248,1.88282,1.28798,0.4972,0.36416,0.40019,0.17675,0.51701,0.44551,0.51584,0.30227,2.11224,2.99122,0.26528,1.93953,1.32303,0.000416,0.000416,0.000416
18,380.877,2.00117,2.99437,0.25754,1.89035,1.28213,0.50959,0.36994,0.40476,0.18698,0.55268,0.42775,0.4965,0.29681,2.02391,2.88695,0.26547,1.92138,1.28264,0.000317,0.000317,0.000317
19,399.998,1.95688,2.76926,0.24301,1.83001,1.25852,0.52822,0.3815,0.41666,0.1849,0.55615,0.4104,0.49531,0.29912,2.03751,2.85375,0.26269,1.91882,1.28425,0.000218,0.000218,0.000218
20,418.37,1.97324,2.7595,0.24507,1.79577,1.24851,0.5501,0.38728,0.42197,0.19216,0.55646,0.43931,0.50755,0.30703,2.00899,2.81867,0.26245,1.89455,1.27314,0.000119,0.000119,0.000119
